Datetime,Soil_Moisture_30cm
04/01/2007 00:00:00,0.4
04/01/2007 01:00:00,0.401
04/01/2007 02:00:00,0.4
04/01/2007 03:00:00,0.4
04/01/2007 04:00:00,0.399
04/01/2007 05:00:00,0.398
04/01/2007 06:00:00,0.4
04/01/2007 07:00:00,0.4
04/01/2007 08:00:00,0.399
04/01/2007 09:00:00,0.398
04/01/2007 10:00:00,0.399
04/01/2007 11:00:00,0.398
04/01/2007 12:00:00,0.399
04/01/2007 13:00:00,0.398
04/01/2007 14:00:00,0.397
04/01/2007 15:00:00,0.397
04/01/2007 16:00:00,0.397
04/01/2007 17:00:00,0.399
04/01/2007 18:00:00,0.4
04/01/2007 19:00:00,0.398
04/01/2007 20:00:00,0.4
04/01/2007 21:00:00,0.4
04/01/2007 22:00:00,0.401
04/01/2007 23:00:00,0.402
04/02/2007 00:00:00,0.403
04/02/2007 01:00:00,0.402
04/02/2007 02:00:00,0.401
04/02/2007 03:00:00,0.403
04/02/2007 04:00:00,0.403
04/02/2007 05:00:00,0.402
04/02/2007 06:00:00,0.401
04/02/2007 07:00:00,0.401
04/02/2007 08:00:00,0.401
04/02/2007 09:00:00,0.4
04/02/2007 10:00:00,0.4
04/02/2007 11:00:00,0.399
04/02/2007 12:00:00,0.4
04/02/2007 13:00:00,0.4
04/02/2007 14:00:00,0.399
04/02/2007 15:00:00,0.396
04/02/2007 16:00:00,0.397
04/02/2007 17:00:00,0.398
04/02/2007 18:00:00,0.396
04/02/2007 19:00:00,0.396
04/02/2007 20:00:00,0.399
04/02/2007 21:00:00,0.397
04/02/2007 22:00:00,0.395
04/02/2007 23:00:00,0.397
04/03/2007 00:00:00,0.397
04/03/2007 01:00:00,0.395
04/03/2007 02:00:00,0.393
04/03/2007 03:00:00,0.396
04/03/2007 04:00:00,0.394
04/03/2007 05:00:00,0.394
04/03/2007 06:00:00,0.395
04/03/2007 07:00:00,0.393
04/03/2007 08:00:00,0.394
04/03/2007 09:00:00,0.393
04/03/2007 10:00:00,0.392
04/03/2007 11:00:00,0.392
04/03/2007 12:00:00,0.392
04/03/2007 13:00:00,0.394
04/03/2007 14:00:00,0.393
04/03/2007 15:00:00,0.392
04/03/2007 16:00:00,0.393
04/03/2007 17:00:00,0.392
04/03/2007 18:00:00,0.392
04/03/2007 19:00:00,0.393
04/03/2007 20:00:00,0.393
04/03/2007 21:00:00,0.394
04/03/2007 22:00:00,0.393
04/03/2007 23:00:00,0.395
04/04/2007 00:00:00,0.395
04/04/2007 01:00:00,0.395
04/04/2007 02:00:00,0.395
04/04/2007 03:00:00,0.396
04/04/2007 04:00:00,0.395
