2012 Bogus Ridge Weather Meteorological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Dataset Reference Format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
Dataset Header Description,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Instantaneous [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
1/1/2012 0:00,-6999,-8.442,-0.636,-7.662,84.98,151.2,2.02,19.21254549
1/1/2012 1:00,-6999,-9,-0.766,-26.138,83.93,157.8,1.89,19.27283214
1/1/2012 2:00,-6999,-8.048,-0.366,-14.272,83.48,171.2,1.69,19.32326096
1/1/2012 3:00,-6999,-7.862,-0.385,-17.27,83,152.1,2.05,19.36373403
1/1/2012 4:00,-6999,-7.359,0.346,1.294,81.93,149.2,1.64,19.39417992
1/1/2012 5:00,-6999,-7.353,0.435,6.317,81.78,150.7,2.17,19.41455675
1/1/2012 6:00,-6999,-6.528,0.756,9.089,76.84,150.1,1.99,19.42485252
1/1/2012 7:00,-6999,-6.691,0.29,2.001,79.37,155.6,2.54,19.42507921
1/1/2012 8:00,-6999,-6.471,3.96,4.106,77.42,158,2.63,19.41527365
1/1/2012 9:00,-6999,-6.066,37.273,7.558,75.23,155.9,2.74,19.39550439
1/1/2012 10:00,-6999,-4.598,188.85,14.55,72.69,164.8,2.75,19.36589231
1/1/2012 11:00,-6999,-2.493,308.3,-8.753,67.8,161.6,2.59,19.32661822
1/1/2012 12:00,-6999,-1.112,413.8,52.558,65.33,163.3,2.47,19.27791403
1/1/2012 13:00,-6999,-0.693,421.05,43.818,60.85,161.4,2.57,19.22008141
1/1/2012 14:00,-6999,-0.448,364.625,26.683,54.48,160.8,2.47,19.15346823
1/1/2012 15:00,-6999,-1.287,178.92,14.77,51.1,155.9,3.01,19.07841812
1/1/2012 16:00,-6999,-1.516,38.483,-71.975,46.26,159.8,2.83,18.99511534
1/1/2012 17:00,-6999,-1.102,0.003,-79.178,46.08,158.4,3.05,18.90340753
1/1/2012 18:00,-6999,-1.25,-5.222,-76.555,46.68,161.5,2.85,18.802614
1/1/2012 19:00,-6999,-0.973,-5.338,-77.248,44.91,158.7,3.05,18.6904939
1/1/2012 20:00,-6999,-0.629,-4.668,-72.42,49.74,158.4,2.48,18.56102347
1/1/2012 21:00,-6999,1.064,-4.575,-80.14,55.2,160.3,2.77,18.40237184
1/1/2012 22:00,-6999,1.549,-5.21,-83.65,56.82,154.7,4.04,18.20265359
1/1/2012 23:00,-6999,1.971,-5.311,-85.175,55.17,156.4,3.83,17.98901093
1/2/2012 0:00,-6999,1.669,-5.138,-86.375,59,158.5,3.25,17.78188968
1/2/2012 1:00,-6999,1.663,-4.975,-87.45,59.29,156.5,2.87,17.59179291
1/2/2012 2:00,-6999,2.025,-5.148,-89.6,56.05,153.8,3.87,17.42073779
1/2/2012 3:00,-6999,2.35,-3.456,-85.025,55.13,153.8,4.05,17.25717802
1/2/2012 4:00,-6999,2.534,-2.884,-85.55,53.96,156,3.66,17.09911571
1/2/2012 5:00,-6999,2.922,-3.195,-89.675,45.84,154,3.7,16.97573341
1/2/2012 6:00,-6999,2.965,-3.392,-92.95,40.78,152.3,3.52,16.87533338
1/2/2012 7:00,-6999,2.74,-3.404,-91.25,38.14,159.1,2.97,16.79879864
1/2/2012 8:00,-6999,2.811,5.024,-87.275,36.09,159.9,2.8,16.74699495
1/2/2012 9:00,-6999,4.053,68.133,-71.42,34.1,158.6,2.61,16.7201096
1/2/2012 10:00,-6999,4.41,205.158,-13.258,34.58,152.4,2.4,16.72193393
1/2/2012 11:00,-6999,5.314,226.7,-34.535,31.56,156.2,2.32,16.76092655
1/2/2012 12:00,-6999,5.28,279.55,3.439,29.92,158.6,2.66,16.83909137
1/2/2012 13:00,-6999,4.107,156.95,-11.005,31.74,152.7,2.71,16.94410028
1/2/2012 14:00,-6999,3.735,101.468,-16.375,31.15,159,2.47,17.06605492
1/2/2012 15:00,-6999,3.996,47.225,-17.595,28.82,152.9,2.12,17.20437612
1/2/2012 16:00,-6999,3.752,38.668,-35.233,29.12,150.3,2.01,17.32518626
1/2/2012 17:00,-6999,4.173,2.611,-44.893,27.94,153.6,2.28,17.49534099
1/2/2012 18:00,-6999,4.711,-1.91,-56.153,27.38,144.7,1.91,17.67370529
1/2/2012 19:00,-6999,5.724,-2.009,-57.435,28.08,187.1,2.21,17.85362447
1/2/2012 20:00,-6999,5.943,-2.807,-66.135,26.67,201.3,2.72,18.03289038
1/2/2012 21:00,-6999,5.825,-3.753,-86.898,27.48,216.5,2.54,18.21123804
1/2/2012 22:00,-6999,5.322,-4.115,-92.075,28.88,223.4,2.17,18.38883533
1/2/2012 23:00,-6999,4.263,-4.418,-95.475,31.29,291.9,2.06,18.56397927
1/3/2012 0:00,-6999,3.028,-3.498,-83.91,34.37,333.6,1.84,18.73083689
1/3/2012 1:00,-6999,2.202,-2.439,-56.54,38.33,339,2.36,18.88298282
1/3/2012 2:00,-6999,1.224,-2.338,-53.738,45.66,339.4,2.72,19.01110343
1/3/2012 3:00,-6999,0.648,-2.77,-64.455,49.27,341.2,3.2,19.10510434
1/3/2012 4:00,-6999,-0.184,-3.106,-76.113,51.55,351.6,3.05,19.16954012
1/3/2012 5:00,-6999,-0.621,-2.225,-55.198,60.21,358.2,2.38,19.21373841
1/3/2012 6:00,-6999,-0.029,-1.392,-43.195,60.29,1.2,1.65,19.26165459
1/3/2012 7:00,-6999,0.13,-2.966,-79.625,61.31,4.9,1.43,19.29000863
1/3/2012 8:00,-6999,-0.06,3.23,-82.75,61.04,3.3,1.53,19.29622908
