Datetime,Soil_Moisture_30cm
04/07/2011 19:00:00,0.403
04/07/2011 20:00:00,0.404
04/07/2011 21:00:00,0.402
04/07/2011 22:00:00,0.404
04/07/2011 23:00:00,0.402
04/08/2011 00:00:00,0.403
04/08/2011 01:00:00,0.403
04/08/2011 02:00:00,0.401
04/08/2011 03:00:00,0.401
04/08/2011 04:00:00,0.401
04/08/2011 05:00:00,0.4
04/08/2011 06:00:00,0.399
04/08/2011 07:00:00,0.401
04/08/2011 08:00:00,0.401
04/08/2011 09:00:00,0.4
04/08/2011 10:00:00,0.4
04/08/2011 11:00:00,0.4
04/08/2011 12:00:00,0.401
04/08/2011 13:00:00,0.4
04/08/2011 14:00:00,0.4
04/08/2011 15:00:00,0.399
04/08/2011 16:00:00,0.4
04/08/2011 17:00:00,0.398
04/08/2011 18:00:00,0.398
04/08/2011 19:00:00,0.4
04/08/2011 20:00:00,0.398
04/08/2011 21:00:00,0.397
04/08/2011 22:00:00,0.399
04/08/2011 23:00:00,0.397
04/09/2011 00:00:00,0.4
04/09/2011 01:00:00,0.398
04/09/2011 02:00:00,0.398
04/09/2011 03:00:00,0.397
04/09/2011 04:00:00,0.397
04/09/2011 05:00:00,0.397
04/09/2011 06:00:00,0.398
04/09/2011 07:00:00,0.397
04/09/2011 08:00:00,0.397
04/09/2011 09:00:00,0.396
04/09/2011 10:00:00,0.396
04/09/2011 11:00:00,0.396
04/09/2011 12:00:00,0.397
04/09/2011 13:00:00,0.397
04/09/2011 14:00:00,0.397
04/09/2011 15:00:00,0.395
04/09/2011 16:00:00,0.396
04/09/2011 17:00:00,0.395
04/09/2011 18:00:00,0.394
04/09/2011 19:00:00,0.394
04/09/2011 20:00:00,0.396
04/09/2011 21:00:00,0.394
04/09/2011 22:00:00,0.394
04/09/2011 23:00:00,0.395
04/10/2011 00:00:00,0.395
04/10/2011 01:00:00,0.395
04/10/2011 02:00:00,0.394
04/10/2011 03:00:00,0.394
04/10/2011 04:00:00,0.394
04/10/2011 05:00:00,0.394
04/10/2011 06:00:00,0.395
04/10/2011 07:00:00,0.393
04/10/2011 08:00:00,0.393
04/10/2011 09:00:00,0.393
04/10/2011 10:00:00,0.393
04/10/2011 11:00:00,0.394
04/10/2011 12:00:00,0.392
04/10/2011 13:00:00,0.392
04/10/2011 14:00:00,0.392
04/10/2011 15:00:00,0.392
04/10/2011 16:00:00,0.394
04/10/2011 17:00:00,0.393
04/10/2011 18:00:00,0.393
04/10/2011 19:00:00,0.391
04/10/2011 20:00:00,0.392
04/10/2011 21:00:00,0.392
04/10/2011 22:00:00,0.392
04/10/2011 23:00:00,0.393
04/11/2011 00:00:00,0.393
04/11/2011 01:00:00,0.393
04/11/2011 02:00:00,0.391
04/11/2011 03:00:00,0.392
04/11/2011 04:00:00,0.392
04/11/2011 05:00:00,0.391
04/11/2011 06:00:00,0.392
04/11/2011 07:00:00,0.393
04/11/2011 08:00:00,0.391
04/11/2011 09:00:00,0.392
04/11/2011 10:00:00,0.392
04/11/2011 11:00:00,0.392
04/11/2011 12:00:00,0.391
04/11/2011 13:00:00,0.391
04/11/2011 14:00:00,0.392
04/11/2011 15:00:00,0.389
04/11/2011 16:00:00,0.391
04/11/2011 17:00:00,0.39
04/11/2011 18:00:00,0.392
04/11/2011 19:00:00,0.39
04/11/2011 20:00:00,0.39
04/11/2011 21:00:00,0.389
04/11/2011 22:00:00,0.39
04/11/2011 23:00:00,0.39
04/12/2011 00:00:00,0.391
04/12/2011 01:00:00,0.391
04/12/2011 02:00:00,0.391
04/12/2011 03:00:00,0.389
04/12/2011 04:00:00,0.391
04/12/2011 05:00:00,0.39
04/12/2011 06:00:00,0.391
04/12/2011 07:00:00,0.39
04/12/2011 08:00:00,0.391
04/12/2011 09:00:00,0.39
04/12/2011 10:00:00,0.392
04/12/2011 11:00:00,0.39
04/12/2011 12:00:00,0.391
04/12/2011 13:00:00,0.39
04/12/2011 14:00:00,0.39
04/12/2011 15:00:00,0.39
04/12/2011 16:00:00,0.391
04/12/2011 17:00:00,0.39
04/12/2011 18:00:00,0.391
04/12/2011 19:00:00,0.39
04/12/2011 20:00:00,0.39
04/12/2011 21:00:00,0.39
04/12/2011 22:00:00,0.389
04/12/2011 23:00:00,0.392
04/13/2011 00:00:00,0.392
04/13/2011 01:00:00,0.392
04/13/2011 02:00:00,0.391
04/13/2011 03:00:00,0.392
04/13/2011 04:00:00,0.392
04/13/2011 05:00:00,0.391
04/13/2011 06:00:00,0.392
04/13/2011 07:00:00,0.392
04/13/2011 08:00:00,0.391
04/13/2011 09:00:00,0.391
04/13/2011 10:00:00,0.392
04/13/2011 11:00:00,0.392
04/13/2011 12:00:00,0.392
04/13/2011 13:00:00,0.392
04/13/2011 14:00:00,0.392
04/13/2011 15:00:00,0.391
04/13/2011 16:00:00,0.392
04/13/2011 17:00:00,0.392
04/13/2011 18:00:00,0.392
04/13/2011 19:00:00,0.391
04/13/2011 20:00:00,0.392
04/13/2011 21:00:00,0.391
04/13/2011 22:00:00,0.393
04/13/2011 23:00:00,0.392
04/14/2011 00:00:00,0.392
04/14/2011 01:00:00,0.393
