3.5,64
3.2,70
3.1,79
2.9,78
3.5,80
3.6,71
3.4,70
3,68
5,68
6.8,65
5.5,62
6.4,70
7.3,65
7.5,61
7,59
6.2,59
6.6,63
5,62
2.2,70
0.8,78
1.2,73
1.8,74
1.5,73
1.4,74
1.5,75
1.1,76
1,76
1.5,80
1.9,79
0.8,79
0.9,79
1.8,79
5.6,76
8.2,57
9.2,51
9,48
9.8,45
11.3,42
10.4,41
9.7,34
9.4,36
7.8,42
8.8,47
8.9,33
9.5,32
9.1,32
8.4,34
6.8,41
8,43
6.8,39
6.8,46
5.2,50
5.1,47
3.3,52
3,55
3.9,62
8.1,56
12.2,34
12.6,35
12.6,37
13.1,41
12.5,41
12.4,37
11.5,39
10.6,42
9.3,44
6.4,54
5.8,64
6.6,65
5.6,63
5.7,63
5.5,62
5.6,61
8.1,56
8.2,49
7.5,51
6.5,55
5.3,59
5.6,62
6.2,63
11.6,59
14.3,41
14.5,39
15.1,35
14.7,34
16.3,33
14.9,31
14.5,34
14,34
13,38
14.6,35
14,33
14.4,35
12,37
12.1,40
13.2,39
12.4,41
8.8,49
8.4,57
7.6,57
7.9,55
7.7,57
7.9,54
7.7,53
12.8,52
16.3,37
15.4,33
16.3,32
15.9,35
16,34
15.9,34
15.6,38
15.1,41
13.1,42
13.7,49
13.5,39
11.5,48
13.1,50
10.7,48
10.4,55
11.7,56
10.6,52
9.5,57
9.1,57
7,61
6.7,66
9.1,66
9.3,66
13.6,66
16.3,46
16.2,46
15.8,47
16.3,45
16.9,42
16.1,43
15.4,42
14.4,44
14.5,45
11.1,50
15.6,42
15.6,32
14.7,37
12,44
10.7,53
11.3,57
11.3,56
10.2,60
8.8,65
9.1,66
8.3,61
7.5,69
7.6,72
12,71
17.4,46
18.3,40
18.6,38
18.5,35
18.4,33
17.3,33
16.4,34
15.7,38
14.2,38
9.5,39
8.9,37
9.3,33
8.6,36
9.6,43
9.1,48
9.7,42
10.5,43
8.6,42
8.7,44
9.7,46
8.6,43
8.9,49
10.3,45
13.3,40
18.1,30
18.4,26
17.7,28
18.4,29
17.9,27
17.1,29
16.2,33
15,35
12.9,38
9.4,52
10.2,45
9.8,40
8.5,42
7.9,48
7.2,53
9.1,53
7.5,53
7.4,56
7,56
6.7,58
6.2,61
6.2,65
7.2,67
12.4,64
14.7,42
14.7,38
14.2,38
14.3,38
14.4,37
13.7,36
13.5,38
13,40
11.5,33
8.1,39
6.6,43
5.5,45
5.8,53
5.9,58
5.3,59
5.4,62
6.3,61
6.5,61
6.1,62
6.1,60
5.9,65
4.6,67
4.6,73
10.2,71
11.7,48
12.2,44
13.3,44
13,40
12.8,38
12.3,42
11.6,47
10.5,49
9.5,51
6,58
9.8,61
11,45
10.6,35
9.4,43
8.9,49
7.2,50
7.6,54
6.6,57
5.4,54
6.4,56
7.2,57
7.1,57
7.6,58
10.7,54
10.6,40
11.9,43
11,41
12.1,40
11.5,40
11.7,42
11.5,48
11.3,52
9.7,56
6.4,78
6.2,85
6.2,74
5.7,71
5,77
4.3,79
3.8,83
3.2,86
2.8,93
2.8,95
2.4,94
2.2,94
2.2,92
2.1,91
3.5,87
3.8,81
4.5,80
5.8,75
6.9,73
7.3,68
6.7,64
6.2,62
6.2,62
5.6,62
3.9,65
2.4,73
3.1,69
3.2,63
2.3,63
3,70
3.1,69
3.5,68
3.8,67
3.3,68
3.2,67
2.5,71
2.6,71
4.3,68
7.6,62
10,49
11,41
12.6,37
12,36
13.2,34
12,33
12.9,32
13,27
12,26
13,28
13,28
13.1,28
13,29
12.5,30
12.4,30
12.1,30
12,31
11.6,33
11.4,32
11.3,32
11.9,32
11.2,33
11.6,33
11.9,32
12.4,32
13.7,31
15.1,30
15.2,26
14.9,28
15.2,28
15.4,26
15,26
14.8,25
14.3,26
14.2,27
14.2,28
14,28
14,28
13.7,28
12.8,29
11.7,31
10.5,32
10.7,33
8.6,36
8.2,44
8.7,43
9.6,41
8.9,42
8,50
2.8,81
2.5,88
2.7,91
4.1,87
4.2,80
4.3,78
5.4,76
4.3,71
3.1,74
1.7,78
2.4,80
3.8,77
1.8,76
1.2,80
1.9,83
1.5,79
2.3,71
1.7,68
2.4,77
2.7,73
3.5,71
3.9,71
4.6,72
5.9,66
6.8,64
6.4,62
7.3,60
8.1,53
7.8,52
7.3,50
7.4,51
6,51
5,54
5.3,54
5.4,55
5.6,53
6.2,52
6.8,47
6.2,43
6.8,40
6.8,38
6.7,39
6.5,42
7.2,42
7.2,41
8.1,39
10,37
11.7,34
11.8,33
12.7,33
13,33
14.3,31
13.8,30
13,33
12.8,34
11.7,35
10.9,36
12.4,36
10.4,34
8.9,41
9.3,43
7.9,46
5.8,54
4.9,57
4.5,59
5.2,56
4.2,49
3.6,54
3.6,55
5.1,55
6.8,54
12.7,42
13.4,35
12.9,38
13.4,40
13.1,44
12.1,46
11.3,48
10.5,50
8.5,55
7.3,61
6.2,64
5.3,66
5,69
5,72
5.4,65
8.5,65
8.2,59
8.2,60
8.4,56
8.9,48
8.5,43
9.7,45
10,42
11.8,38
13.3,34
14.2,29
15.5,29
15.9,28
16.3,27
14.8,29
15.4,29
15.1,28
12.5,28
11,33
15.2,32
13.2,28
13.9,30
13.7,30
11.9,30
13.7,32
11.1,36
11.6,40
11.4,41
12,38
9.9,39
10.5,41
12.1,40
13.1,37
14.1,34
15.2,33
16,32
17.5,31
16.8,30
15.8,32
15.6,32
15.2,33
14.4,34
11.8,38
11.3,43
10.8,39
9.9,39
9.4,40
6.7,61
5.6,84
4.5,94
3.8,97
2.3,97
1.5,98
1.7,98
2.1,97
2.3,96
1.8,97
1.4,97
2.5,98
2.7,98
3.2,98
3.5,98
4,97
4.1,95
3,91
2.2,94
1,95
1,95
1,93
0.9,93
0.8,92
0.4,92
0.5,94
1,93
2,86
2,83
1.9,83
1.9,81
1.7,80
3.3,79
4.4,74
4.9,69
6.1,66
6.8,62
6.4,63
6.8,67
7.8,62
7.2,55
6.9,52
6.8,51
7.1,50
6.9,51
8.1,60
6.2,62
5.4,84
5.3,87
5.6,90
5.2,87
7,81
5.4,78
5.3,83
5.1,84
5.5,86
6.2,87
5.8,86
6.2,91
7.3,87
7,83
7.2,79
7.8,78
7.2,81
6.5,88
6.3,90
5.9,91
5.8,94
5.5,97
4.7,98
5,98
4.6,98
4.5,98
4.7,98
4.7,98
4.8,98
5.3,97
5.5,95
5.3,94
5.2,94
5.8,93
6.5,90
7.1,87
7.6,82
9.8,77
10.5,70
11.5,65
10.6,64
11,64
11.4,60
9.2,58
9.1,63
10.5,58
10,52
10.2,49
11.7,43
10.8,40
12.3,39
11.5,34
12.8,36
12.2,32
11.9,34
11.8,33
11.6,34
11.8,33
12.4,33
12.4,33
12.5,35
12.2,36
12.9,38
14.2,36
14.2,33
12.7,33
12.1,37
10.2,42
10.1,52
9.1,47
8,44
7.7,49
6.5,53
5.2,70
4.6,77
4,80
3.2,85
2.4,90
1.7,94
1.7,95
1.4,97
0.9,94
1,92
1.5,91
1,88
1.9,85
1.7,83
1.8,79
2,84
2.4,77
0.6,86
1,91
1.2,85
1.3,82
1.1,83
0.4,89
-0.1,94
-0.2,97
-0.8,97
-0.7,96
-1.4,93
-1.4,93
-2,92
-3.4,93
-3.2,94
-2.7,93
-1.6,90
-0.4,84
0.8,76
1.2,76
1.1,83
1.6,82
1.9,75
2,75
1.4,77
-0.1,86
-1.3,86
-2.2,77
-2.3,68
-2.6,66
-3.5,64
-2.6,63
-1.3,68
-0.5,73
0.8,78
0.5,65
-0.6,72
-0.4,77
0.5,74
0.7,73
2.3,74
4.5,62
5.6,56
6.5,53
6.6,52
7,50
6.6,50
6.4,50
5.6,50
5.2,54
5.6,56
6,55
6.6,55
7.3,52
7.8,50
6.2,51
5.5,81
5.8,83
5,83
4.7,81
5.5,84
5.1,89
4.7,82
5.4,81
6.7,75
6.5,72
7.8,72
8.1,71
7.4,72
8,75
8.1,73
8.1,73
7.4,73
5.5,78
5.5,79
6.3,76
7,72
7.2,70
5.7,63
5.3,50
6.3,66
7.7,64
7.5,61
8,60
7.4,58
8,55
8.5,48
9,44
9.7,41
